bootstrap,full_kappa,kappa,retention,scale,subset_n,tau,train_curve,train_label
41,0.0060004790851013465,0.013930152565422214,0.030041499317962937,25,547,0.030898198785299612,cosine_72000.csv,Cosine
42,0.0060004790851013465,0.0,0.028736678553897683,25,547,0.030898198785299612,cosine_72000.csv,Cosine
43,0.0060004790851013465,0.0010160979420856602,0.009473027619257854,25,544,0.030898198785299612,cosine_72000.csv,Cosine
44,0.0060004790851013465,0.0015852917370737043,0.014260452637594526,25,549,0.030898198785299612,cosine_72000.csv,Cosine
45,0.0060004790851013465,0.0007344945252536628,0.0005097283403679088,25,541,0.030898198785299612,cosine_72000.csv,Cosine
46,0.0060004790851013465,0.0,0.01334150695472757,25,544,0.030898198785299612,cosine_72000.csv,Cosine
47,0.0060004790851013465,0.00553627468707124,0.03680426183184149,25,542,0.030898198785299612,cosine_72000.csv,Cosine
48,0.0060004790851013465,0.004338229730666653,0.027529473839129005,25,546,0.030898198785299612,cosine_72000.csv,Cosine
49,0.0060004790851013465,0.0015342942074176654,0.010416550856753347,25,545,0.030898198785299612,cosine_72000.csv,Cosine
50,0.0060004790851013465,0.015791266018780253,0.018601852534328833,25,548,0.030898198785299612,cosine_72000.csv,Cosine
51,0.0060004790851013465,0.017628365326279805,0.03702562225172358,25,549,0.030898198785299612,cosine_72000.csv,Cosine
52,0.0060004790851013465,0.03,0.030405940521130076,25,546,0.030898198785299612,cosine_72000.csv,Cosine
53,0.0060004790851013465,0.0018804108063791827,0.018923667395487054,25,548,0.030898198785299612,cosine_72000.csv,Cosine
54,0.0060004790851013465,0.011261665621335569,0.03580513184408344,25,546,0.030898198785299612,cosine_72000.csv,Cosine
55,0.0060004790851013465,0.0,0.023025483478742836,25,546,0.030898198785299612,cosine_72000.csv,Cosine
56,0.0060004790851013465,0.017935407888630607,0.019555527775434473,25,544,0.030898198785299612,cosine_72000.csv,Cosine
57,0.0060004790851013465,0.00030325537670285093,0.017096143487057798,25,546,0.030898198785299612,cosine_72000.csv,Cosine
58,0.0060004790851013465,0.0,0.024814608677285854,25,541,0.030898198785299612,cosine_72000.csv,Cosine
59,0.0060004790851013465,0.019053686675472813,0.03483797730726471,25,546,0.030898198785299612,cosine_72000.csv,Cosine
60,0.0060004790851013465,0.0,0.02483888041984119,25,546,0.030898198785299612,cosine_72000.csv,Cosine
61,0.0060004790851013465,0.0,0.030251793299369587,25,548,0.030898198785299612,cosine_72000.csv,Cosine
62,0.0060004790851013465,0.02069778230619473,0.03230561247563425,25,549,0.030898198785299612,cosine_72000.csv,Cosine
63,0.0060004790851013465,0.01027111434957213,0.03756405904712888,25,548,0.030898198785299612,cosine_72000.csv,Cosine
64,0.0060004790851013465,0.0,0.02981046114884631,25,546,0.030898198785299612,cosine_72000.csv,Cosine
65,0.0060004790851013465,0.0,0.035905436280865906,25,546,0.030898198785299612,cosine_72000.csv,Cosine
66,0.0060004790851013465,0.025921050124153456,0.012634372196377286,25,548,0.030898198785299612,cosine_72000.csv,Cosine
67,0.0060004790851013465,0.014772062205719033,0.014450092267231898,25,548,0.030898198785299612,cosine_72000.csv,Cosine
68,0.0060004790851013465,0.020232317814234475,0.03905233354309562,25,545,0.030898198785299612,cosine_72000.csv,Cosine
69,0.0060004790851013465,0.0,0.02996604701410347,25,548,0.030898198785299612,cosine_72000.csv,Cosine
70,0.0060004790851013465,0.0,0.014361995720656376,25,549,0.030898198785299612,cosine_72000.csv,Cosine
71,0.0060004790851013465,0.006801681534738441,0.03563945449826869,25,548,0.030898198785299612,cosine_72000.csv,Cosine
72,0.0060004790851013465,0.0,0.022259861755180174,25,546,0.030898198785299612,cosine_72000.csv,Cosine
73,0.0060004790851013465,0.0,0.03131956523849674,25,546,0.030898198785299612,cosine_72000.csv,Cosine
74,0.0060004790851013465,0.0,0.028461591547019886,25,547,0.030898198785299612,cosine_72000.csv,Cosine
75,0.0060004790851013465,0.0,0.03191405489150176,25,547,0.030898198785299612,cosine_72000.csv,Cosine
