config_id,extra_center,extra_tau,extra_time_power,extra_width,mean_delta,median_delta,nonharm,rows,shrink_gates,target_mean_delta,target_worst_delta,wins,worst_delta
1228,0.5,0.1,2.0,0.15,-37.879095167348616,-40.477293275340145,15,15,0,-17.53685165729739,-11.724717505530169,15,-11.724717505530169
78,0.1,0.1,1.0,0.08,-37.87903104618808,-40.477293275340145,15,15,0,-17.536531051494677,-11.758005402692051,15,-11.758005402692051
904,0.4,0.01,0.0,0.03,-37.87881892495264,-40.477293275340145,15,15,0,-17.53547044531749,-11.71735738953199,15,-11.71735738953199
16,0.1,0.03,1.0,0.03,-37.8785113040237,-40.477293275340145,15,15,0,-17.533932340672802,-11.761808937858675,15,-11.761808937858675
902,0.4,0.003,0.0,0.03,-37.87827201116121,-40.477293275340145,15,15,0,-17.53273587636036,-11.708435328928424,15,-11.708435328928424
900,0.4,0.001,0.0,0.03,-37.87821827422621,-40.477293275340145,15,15,0,-17.532467191685342,-11.707558692002129,15,-11.707558692002129
899,0.3,0.1,2.0,0.25,-37.87819150828834,-40.477293275340145,15,15,1,-17.532333361996006,-11.814903215715212,15,-11.814903215715212
688,0.25,0.1,2.0,0.15,-37.87806630384207,-40.477293275340145,15,15,0,-17.531707339764665,-11.720291256920412,15,-11.720291256920412
198,0.15,0.1,1.0,0.03,-37.877978206264544,-40.477293275340145,15,15,0,-17.53126685187703,-11.764431852295477,15,-11.764431852295477
898,0.3,0.1,2.0,0.25,-37.87749246277817,-40.477293275340145,15,15,0,-17.528838134445166,-11.694349739216392,15,-11.694349739216392
989,0.4,0.1,2.0,0.08,-37.877491625926034,-40.477293275340145,15,15,1,-17.528833950184453,-11.814450497180696,15,-11.814450497180696
38,0.1,0.1,0.0,0.05,-37.8774873257915,-40.477293275340145,15,15,0,-17.52881244951177,-11.744523049406874,15,-11.744523049406874
238,0.15,0.1,2.0,0.05,-37.877378504757154,-40.477293275340145,15,15,0,-17.528268344340045,-11.748941656897216,15,-11.748941656897216
988,0.4,0.1,2.0,0.08,-37.87732048705017,-40.477293275340145,15,15,0,-17.52797825580512,-11.70241790248301,15,-11.70241790248301
749,0.3,0.1,2.0,0.03,-37.87725918991271,-40.477293275340145,15,15,1,-17.527671770117855,-11.816613771915197,15,-11.816613771915197
396,0.2,0.03,0.0,0.05,-37.8768183820514,-40.477293275340145,15,15,0,-17.525467730811275,-11.755246678460097,15,-11.755246678460097
256,0.15,0.03,1.0,0.08,-37.87670057441436,-40.477293275340145,15,15,0,-17.52487869262612,-11.754427868928952,15,-11.754427868928952
1125,0.5,0.01,1.0,0.05,-37.87664957562859,-40.477293275340145,15,15,1,-17.524623698697297,-11.810498869483022,15,-11.810498869483022
507,0.2,0.03,2.0,0.15,-37.87643284812045,-40.477293275340145,15,15,1,-17.523540061156567,-11.812480604848453,15,-11.812480604848453
1156,0.5,0.03,1.0,0.08,-37.87640830845982,-40.477293275340145,15,15,0,-17.523417362853372,-11.651522739863008,15,-11.651522739863008
188,0.15,0.1,0.0,0.03,-37.87634174308448,-40.477293275340145,15,15,0,-17.523084535976707,-11.756145282200636,15,-11.756145282200636
106,0.1,0.03,1.0,0.1,-37.876318448262346,-40.477293275340145,15,15,0,-17.522968061866056,-11.753781466934743,15,-11.753781466934743
107,0.1,0.03,1.0,0.1,-37.876041440927224,-40.477293275340145,15,15,1,-17.52158302519039,-11.810146880233429,15,-11.810146880233429
1258,0.5,0.1,2.0,0.25,-37.8758334154834,-40.477293275340145,15,15,0,-17.520542897971307,-11.676364480104507,15,-11.676364480104507
228,0.15,0.1,1.0,0.05,-37.875765533620054,-40.477293275340145,15,15,0,-17.520203488654573,-11.737824303661814,15,-11.737824303661814
25,0.1,0.01,2.0,0.03,-37.87575464029339,-40.477293275340145,15,15,1,-17.520149022021275,-11.810100401173173,15,-11.810100401173173
658,0.25,0.1,2.0,0.1,-37.875684038792414,-40.477293275340145,15,15,0,-17.519796014516363,-11.70737051528018,15,-11.70737051528018
709,0.25,0.1,1.0,0.25,-37.87545699141705,-40.477293275340145,15,15,1,-17.518660777639553,-11.681661165450697,15,-11.681661165450697
24,0.1,0.01,2.0,0.03,-37.87540155231667,-40.477293275340145,15,15,0,-17.518383582137616,-11.824101697545597,15,-11.824101697545597
598,0.25,0.1,2.0,0.05,-37.875219487838805,-40.477293275340145,15,15,0,-17.51747325974834,-11.727742635592975,15,-11.727742635592975
