group,mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,train_size,wins,worst_delta_pct
all,-7.234569653928383,0.5208333333333334,retention_gate_0p02,144,144,1,75,0.0
main_matrix,-11.044442940954752,0.8833333333333333,retention_gate_0p02,180,180,2,159,0.0
extra_holdout,0.0,0.0,retention_gate_0p02,135,135,2,0,0.0
all,-6.311110251974145,0.5047619047619047,retention_gate_0p02,315,315,2,159,0.0
main_matrix,-11.695125148412897,0.95,retention_gate_0p02,180,180,3,171,0.0
extra_holdout,0.0,0.0,retention_gate_0p02,180,180,3,0,0.0
all,-5.847562574206449,0.475,retention_gate_0p02,360,360,3,171,0.0
main_matrix,-12.454450803783404,1.0,retention_gate_0p02,90,90,4,90,-1.523001737841534
extra_holdout,0.0,0.0,retention_gate_0p02,135,135,4,0,0.0
all,-4.981780321513362,0.4,retention_gate_0p02,225,225,4,90,0.0
main_matrix,-12.57775186582335,1.0,retention_gate_0p02,18,18,5,18,-1.6006129471590969
extra_holdout,0.0,0.0,retention_gate_0p02,54,54,5,0,0.0
all,-3.144437966455837,0.25,retention_gate_0p02,72,72,5,18,0.0
main_matrix,-11.57531144628541,0.8333333333333334,retention_gate_0p05,90,90,1,75,0.0
extra_holdout,0.0,0.0,retention_gate_0p05,54,54,1,0,0.0
all,-7.234569653928383,0.5208333333333334,retention_gate_0p05,144,144,1,75,0.0
main_matrix,-10.916961429289222,0.8333333333333334,retention_gate_0p05,180,180,2,150,0.0
extra_holdout,0.0,0.0,retention_gate_0p05,135,135,2,0,0.0
all,-6.2382636738795565,0.47619047619047616,retention_gate_0p05,315,315,2,150,0.0
main_matrix,-11.417171951018393,0.8333333333333334,retention_gate_0p05,180,180,3,150,0.0
extra_holdout,0.0,0.0,retention_gate_0p05,180,180,3,0,0.0
all,-5.708585975509196,0.4166666666666667,retention_gate_0p05,360,360,3,150,0.0
